course_id,count
362,980
105,634
867,626
237,613
400,610
468,610
200,591
408,591
960,590
735,585
338,581
169,580
158,577
443,566
192,338
747,335
349,333
274,332
802,331
239,328
791,327
702,325
629,324
974,321
704,318
748,318
445,315
991,315
319,314
581,313
559,312
795,312
962,312
366,310
599,309
692,309
304,307
679,307
545,306
603,306
137,304
486,304
949,303
959,303
426,301
626,301
631,301
604,300
927,300
875,299
496,298
642,298
376,297
461,297
694,297
852,297
482,296
808,296
242,295
401,295
258,294
489,292
352,291
591,291
571,290
527,287
493,286
270,285
612,285
476,284
893,284
561,282
663,282
864,282
793,281
972,280
843,279
345,272
421,271
696,271
313,270
760,270
334,268
457,266
415,264
101,1
123,1
127,1
130,1
133,1
139,1
190,1
195,1
209,1
224,1
227,1
235,1
236,1
238,1
241,1
254,1
265,1
267,1
272,1
275,1
276,1
278,1
284,1
292,1
318,1
324,1
328,1
337,1
340,1
341,1
344,1
348,1
353,1
359,1
371,1
377,1
391,1
392,1
393,1
394,1
396,1
399,1
403,1
407,1
411,1
416,1
436,1
442,1
451,1
456,1
458,1
487,1
494,1
500,1
539,1
544,1
546,1
549,1
558,1
577,1
580,1
582,1
584,1
586,1
594,1
598,1
608,1
618,1
628,1
630,1
634,1
647,1
656,1
659,1
664,1
666,1
680,1
681,1
716,1
730,1
731,1
761,1
762,1
769,1
770,1
774,1
780,1
781,1
787,1
792,1
804,1
805,1
810,1
814,1
818,1
820,1
830,1
841,1
857,1
858,1
877,1
887,1
897,1
898,1
902,1
919,1
922,1
947,1
958,1
963,1
966,1
969,1
983,1
984,1
998,1
