course_id,prereq_id,level
696,101,0
612,123,0
795,123,0
376,130,0
558,130,0
902,130,0
338,133,0
852,133,0
258,137,0
629,139,0
958,139,0
760,169,0
224,227,0
362,242,0
544,254,0
694,254,0
774,258,0
852,267,0
747,272,0
272,275,0
242,304,0
545,318,0
998,319,0
843,324,0
628,340,0
403,345,0
780,345,0
403,352,0
618,352,0
486,371,0
820,371,0
292,399,0
411,401,0
276,403,0
591,403,0
158,408,0
324,408,0
496,416,0
704,416,0
608,421,0
692,426,0
496,443,0
875,458,0
586,468,0
241,486,0
582,487,0
496,489,0
664,489,0
947,494,0
559,500,0
457,544,0
656,559,0
242,594,0
991,598,0
877,599,0
169,603,0
349,612,0
239,628,0
864,634,0
353,647,0
656,659,0
399,664,0
802,666,0
631,681,0
353,694,0
359,694,0
362,696,0
458,696,0
544,702,0
664,704,0
313,731,0
603,735,0
958,735,0
830,748,0
692,761,0
774,769,0
692,774,0
805,774,0
209,780,0
793,791,0
647,792,0
792,814,0
359,818,0
841,818,0
338,852,0
443,852,0
324,857,0
608,864,0
392,875,0
254,877,0
747,927,0
545,947,0
804,947,0
972,958,0
810,966,0
958,969,0
236,984,0
663,998,0
458,101,1
362,101,1
349,123,1
443,133,1
338,133,1
774,137,1
972,139,1
457,254,1
359,254,1
353,254,1
805,258,1
692,258,1
443,267,1
338,267,1
747,275,1
362,304,1
663,319,1
239,340,1
591,345,1
276,345,1
209,345,1
591,352,1
276,352,1
241,371,1
843,408,1
664,416,1
392,458,1
399,489,1
804,494,1
545,494,1
656,500,1
362,594,1
254,599,1
760,603,1
608,634,1
292,664,1
875,696,1
457,702,1
399,704,1
169,735,1
972,735,1
805,769,1
692,769,1
353,792,1
647,814,1
496,852,1
843,857,1
694,877,1
544,877,1
972,969,1
875,101,2
496,133,2
692,137,2
805,137,2
496,267,2
399,416,2
292,489,2
544,599,2
694,599,2
392,696,2
292,704,2
760,735,2
353,814,2
353,877,2
359,877,2
457,877,2
392,101,3
292,416,3
457,599,3
359,599,3
353,599,3
